species,concentration_mol_L,pH
Ca+2,0.022,13.72
Na+,0.185,13.72
K+,0.42,13.72
OH-,0.625,13.72
SO4-2,0.002,13.72
AlO2-,0.001,13.72
SiO3-2,0.0005,13.72
Cl-,0.0,13.72
